Nr,CLASS,GENDER,AGE,HEIGHT,SPORTS,TV,COMPUTER,SUBJECT,ALLOWANCE,WORK,PROVINCE,BREAKFAST
312,1,Boy,12,162,4,15,2,Other,7,40,23,Yes
313,1,Boy,12,165,2,7,9,Engineering,5,0,23,Yes
314,1,Boy,13,160,6,7,5,Sports,12,10,23,Yes
315,1,Boy,13,160,15,15,28,Other,15,120,23,Yes
316,1,Boy,11,154,11,5,2,Mathematics,8,0,23,Yes
317,1,Boy,12,155,10,5,4,Sports,8,0,23,Yes
318,1,Boy,13,165,8,14,18,Sports,8,0,23,Yes
319,1,Boy,12,175,5,18,2,Mathematics,13,0,23,Yes
320,1,Boy,12,164,7,21,21,History,13,37,23,Yes
321,1,Boy,12,180,7,22,14,Mathematics,5,0,23,Yes
322,1,Boy,11,167,2,60,12,Mathematics,6,4,23,Yes
323,1,Girl,13,171,2,9,2,Other,10,0,23,Yes
324,1,Girl,12,162,2,17,1,Other,10,25,23,Yes
325,1,Girl,12,166,2,7,1,Other,4,0,23,Yes
326,1,Girl,12,145,5,10,3,Other,5,0,23,Yes
327,1,Boy,12,180,3,14,18,Engineering,5,0,23,Yes
328,1,Boy,13,166,7,13,14,Sports,15,0,23,Yes
329,1,Boy,13,160,7,19,7,Sports,10,0,23,Yes
330,1,Boy,12,160,8,30,0,Sports,10,0,23,Yes
331,1,Girl,12,155,4,1,1,Other,6,0,23,Yes
332,1,Girl,12,161,20,14,0,Nursing,0,5,23,No
333,1,Girl,12,154,4,4,3,Other,5,5,23,Yes
334,1,Boy,12,168,3,10,5,Sports,7,0,23,Yes
335,1,Boy,12,177,10,4,3,Sports,10,3,23,Yes
336,1,Girl,12,156,2,10,5,Nursing,8,0,23,Yes
337,1,Girl,12,155,1,12,5,Other,10,0,23,Yes
338,1,Girl,12,176,2,8,1,Mathematics,5,0,23,Brought something
339,1,Girl,12,159,5,5,3,Other,10,0,23,Yes
340,1,Girl,12,158,9,11,2,Other,5,0,23,Brought something
341,1,Boy,12,150,6,10,15,French language,5,10,23,Brought something
342,1,Girl,12,154,2,15,1,Sports,10,5,23,Yes
343,1,Girl,12,159,5,14,1,Geography,10,0,23,Yes
344,1,Boy,13,170,3,12,8,Sports,7,0,23,Yes
345,1,Boy,12,172,5,7,9,Sports,6,20,23,Yes
346,1,Boy,12,155,5,35,30,Geography,8,0,23,Yes
347,1,Girl,12,158,4,8,6,Other,5,0,23,Yes
348,1,Boy,12,155,7,20,15,Sports,5,0,23,Yes
349,1,Girl,12,158,0,30,2,Sports,3,0,23,Yes
350,1,Boy,12,172,4,7,4,Sports,7,0,23,Yes
351,1,Boy,12,156,3,9,8,Sports,8,0,23,Yes
352,1,Boy,12,160,6,10,10,History,10,0,23,Yes
353,1,Girl,11,163,0,17,4,Geography,5,0,23,Yes
354,1,Boy,12,164,3,20,10,Sports,7,7,23,Yes
355,1,Girl,12,165,4,10,1,Art,5,0,23,Yes
356,1,Boy,12,147,7,10,8,Sports,25,0,23,Yes
357,1,Boy,12,146,7,20,10,Mathematics,13,5,23,Yes
358,1,Boy,12,158,3,8,1,History,5,0,23,Yes
359,1,Girl,12,167,8,8,5,Other,7,0,23,Yes
360,1,Girl,12,163,0,10,0,Art,3,0,23,Yes
361,1,Girl,13,170,5,8,1,Sports,8,0,23,Yes
362,1,Girl,12,166,4,10,3,Other,5,5,23,Yes
363,1,Girl,12,169,4,7,1,Geography,5,0,23,Yes
364,1,Boy,12,169,14,30,5,Sports,2,0,23,Yes
365,1,Girl,12,163,8,7,4,Other,5,0,23,Yes
366,1,Boy,12,160,6,9,5,Sports,5,0,23,Yes
367,1,Boy,12,176,0,14,11,English language,3,0,23,Yes
368,1,Boy,12,163,8,10,20,Sports,8,0,23,Yes
369,1,Girl,13,166,9,15,15,History,10,28,23,Yes
370,1,Girl,12,165,4,10,1,Art,5,0,23,Yes
371,1,Boy,12,164,10,15,7,Sports,8,10,23,Yes
372,1,Girl,12,165,5,10,0,Sports,8,0,23,Yes
373,1,Boy,12,157,2,8,5,Art,5,0,23,Yes
374,1,Boy,19,200,25,45,34,Art,45,45,23,No
375,1,Girl,12,158,4,7,1,Sports,6,0,23,Yes
376,1,Girl,12,163,6,7,7,Sports,5,0,23,Yes
377,1,Boy,13,156,5,8,9,Sports,10,0,23,Yes
378,1,Boy,12,158,5,14,4,Sports,10,0,23,Yes
379,1,Girl,12,170,4,8,2,Art,5,0,23,Yes
380,1,Boy,12,153,6,8,2,Sports,10,0,23,Yes
381,1,Boy,12,160,10,10,7,Sports,10,0,23,Yes
382,1,Boy,12,166,5,15,9,Other,5,0,23,Yes
383,1,Girl,12,174,5,11,10,Sports,5,0,23,Yes
384,1,Girl,12,160,4,12,2,Art,0,0,23,Yes
385,1,Boy,12,160,5,15,9,Sports,10,0,23,Yes
386,1,Boy,13,166,8,8,8,Sports,8,15,23,Yes
387,1,Boy,12,168,2,3,6,Mathematics,9,0,23,Yes
388,1,Girl,11,159,5,10,2,Sports,5,0,23,Yes
389,1,Girl,13,165,2,10,3,History,10,0,23,Yes
390,1,Girl,12,175,8,25,10,Sports,25,0,23,Yes
391,1,Girl,13,174,1,3,6,Sports,0,0,23,Yes
392,1,Boy,12,150,8,3,2,Music,3,0,23,Yes
393,1,Boy,12,168,4,14,2,Sports,9,0,23,Yes
394,1,Girl,13,167,0,10,14,Art,8,25,23,Yes
395,1,Girl,12,164,3,9,12,Music,8,20,23,Yes
396,1,Boy,12,158,0,14,6,Sports,10,0,23,Yes
397,1,Boy,12,160,8,4,8,Art,4,0,23,Yes
398,1,Girl,11,176,4,7,4,Sports,0,0,23,Yes
399,1,Boy,12,155,2,10,3,Engineering,3,0,23,Yes
400,1,Boy,12,152,7,15,4,Sports,10,0,23,Yes
401,1,Girl,12,150,5,5,1,Other,2,0,23,Yes
402,1,Girl,12,162,0,7,2,Music,3,0,23,Yes
403,1,Boy,12,165,2,25,2,Physics & Chemisty,6,0,23,Yes
404,1,Girl,12,154,2,11,1,Other,10,0,23,Yes
405,1,Boy,12,160,7,20,4,History,8,0,23,Yes
406,1,Boy,13,171,0,7,7,Other,0,0,23,Yes
407,1,Girl,12,163,4,9,7,Music,10,0,23,Yes
408,1,Boy,12,163,10,6,5,Mathematics,8,0,23,Yes
409,1,Girl,13,158,1,18,1,Music,4,0,23,Yes
410,1,Boy,12,156,4,10,5,Mathematics,5,0,23,Yes
411,1,Boy,12,157,2,0,2,Music,3,0,23,Yes
412,1,Boy,12,148,4,24,3,English language,7,0,23,Yes
413,1,Girl,12,152,3,14,4,Music,6,0,23,Yes
414,1,Boy,12,150,2,13,13,Geography,0,0,23,Yes
415,1,Boy,12,157,9,10,7,Mathematics,5,0,23,Yes
416,1,Girl,12,148,4,21,7,English language,6,35,23,Yes
417,1,Boy,12,179,15,10,1,Mathematics,5,0,23,Yes
418,1,Boy,12,157,1,16,7,History,5,0,23,Yes
419,1,Girl,12,154,3,5,0,Sports,3,0,23,Yes
420,1,Boy,12,161,4,10,6,Other,10,0,23,Yes
421,1,Girl,12,162,2,0,0,Music,3,0,23,Yes
422,1,Boy,12,162,2,5,8,Other,7,0,23,Yes
423,1,Boy,12,162,5,12,8,Sports,10,0,23,Yes
